trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-02-05,000158.SZ,常山北明,19.31,软件服务,8.54,33.759,18.499,104.97,5.09,5.23,-19,-15.0,-19.0,31.42,2.34,2.49,0,0.0,0.0,0,-1,-1,-0.96,-4.9715,380.47,14.03,1,-12.29
2025-02-17,000158.SZ,常山北明,25.74,软件服务,-3.74,15.878,2.715,92.05,4.47,4.35,-3,0.0,-3.0,106.24,7.91,7.4,-4,0.0,-4.0,0,0,5,1.3856,5.3831,778.53,-1.96,-1,35.56
2025-04-23,000158.SZ,常山北明,20.83,软件服务,0.05,23.544,2.091,54.3,2.63,2.81,0,0.0,0.0,40.56,3.02,3.49,0,0.0,-9.0,0,0,0,-0.8161,-3.9179,390.62,3.72,4,17.91
2025-06-11,000159.SZ,国际实业,5.56,石油贸易,-0.54,16.367,7.734,13.91,1.07,0.93,0,10.0,0.0,11.7,1.28,1.11,0,5.0,0.0,2,4,4,0.062,1.1151,655.42,8.09,9,46.32
2025-07-14,000401.SZ,金隅冀东,4.65,水泥,0.22,19.658,1.923,21.24,1.56,1.5,0,0.0,0.0,24.43,3.42,3.17,0,0.0,0.0,0,0,5,0.0613,1.3183,441.14,-0.59,0,3.41
2025-03-28,000403.SZ,派林生物,16.59,生物制药,0.12,18.505,1.654,12.87,0.88,0.89,47,47.0,43.0,12.7,1.43,1.48,0,0.0,0.0,0,1,1,0.1497,0.9024,337.17,-3.3,-5,-25.61
2025-01-02,000408.SZ,藏格矿业,26.77,农药化肥,-1.62,19.43,2.063,10.31,0.68,0.69,6,6.0,2.0,5.19,0.49,0.64,5,5.0,1.0,0,0,0,-0.1692,-0.6321,346.18,-0.86,0,20.97
2025-02-24,000409.SZ,云鼎科技,10.22,软件服务,-0.78,15.619,-4.42,30.31,2.38,2.44,0,0.0,0.0,32.26,3.42,3.58,0,0.0,0.0,0,3,3,0.2668,2.6106,491.0,2.03,3,10.83
2025-04-03,000417.SZ,合百集团,5.52,百货,1.85,22.938,19.92,13.04,1.26,1.26,0,0.0,0.0,14.65,2.08,2.05,0,0.0,0.0,0,0,0,-0.0014,-0.0254,280.16,-11.45,-4,-46.62
2025-08-05,000417.SZ,合百集团,5.62,百货,1.44,23.173,1.783,6.98,0.67,0.77,3,3.0,0.0,4.57,0.65,0.83,2,2.0,0.0,0,0,0,0.0151,0.2687,561.32,5.9,4,27.51
