trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-02-20,000032.SZ,深桑达Ａ,25.72,建筑工程,0.7,14.134,-7.527,145.45,6.5,5.93,-5,-1.0,-5.0,144.08,10.56,9.8,-7,-3.0,-7.0,1,5,9,2.2516,8.7543,1071.34,-1.33,-1,22.23
2025-03-05,000032.SZ,深桑达Ａ,25.46,建筑工程,0.12,-5.416,-7.747,137.84,6.16,6.73,-14,-10.0,-14.0,99.94,7.33,8.53,-16,-12.0,-16.0,0,0,0,2.2796,8.9537,534.85,-10.79,-8,-32.82
2025-03-14,000032.SZ,深桑达Ａ,25.92,建筑工程,3.06,-4.607,-9.95,96.99,4.33,4.51,-21,-17.0,-21.0,40.88,3.0,3.41,0,0.0,-20.0,0,0,0,1.1263,4.3453,446.22,-4.22,-2,-4.95
2025-03-27,000032.SZ,深桑达Ａ,22.96,建筑工程,0.92,3.241,-8.673,71.5,3.19,3.3,0,0.0,-26.0,48.58,3.56,3.16,0,0.0,0.0,0,0,0,-0.1683,-0.733,205.26,-3.1,-11,-33.61
2025-05-07,000032.SZ,深桑达Ａ,22.99,建筑工程,-0.82,-5.641,-10.641,34.6,1.55,1.5,0,0.0,0.0,14.89,1.09,0.99,0,3.0,0.0,0,0,0,-0.0898,-0.3906,312.71,0.35,0,16.49
2025-06-05,000032.SZ,深桑达Ａ,20.37,建筑工程,2.67,-6.4,-8.325,48.99,2.19,2.31,0,0.0,0.0,34.93,2.56,2.8,0,0.0,0.0,0,0,0,-0.6394,-3.1389,344.66,13.52,2,11.66
2025-08-01,000032.SZ,深桑达Ａ,24.77,建筑工程,9.99,-4.731,-7.346,43.78,1.96,1.8,0,0.0,0.0,38.83,2.85,2.72,0,0.0,0.0,3,1,18,0.8058,3.2531,698.12,3.37,7,46.03
2025-08-25,000032.SZ,深桑达Ａ,24.98,建筑工程,1.67,4.629,-8.984,53.24,2.38,2.41,0,0.0,0.0,23.63,1.73,1.85,0,0.0,0.0,4,1,1,0.7346,2.9408,422.1,1.92,1,-0.31
2025-02-18,000034.SZ,神州数码,56.34,软件服务,4.57,1.126,-10.31,158.01,9.49,8.44,-5,-1.0,-5.0,151.27,12.33,11.17,-6,-2.0,-6.0,4,8,8,5.1535,9.1471,933.65,-4.52,-1,20.22
2025-03-05,000034.SZ,神州数码,48.39,软件服务,2.89,-7.904,-9.096,108.41,6.51,7.07,-16,-12.0,-16.0,66.04,5.38,6.36,-17,-13.0,-17.0,0,0,0,2.944,6.0839,410.13,-6.58,-12,-42.67
